,,,,,,,,,,,,,,,,,,1 for present,,total analysed,total missing,total added,total missing and added,net total missing,total disfluent
The Cricketers is a children friendly restaurant near Avalon. It has a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=restaurant,1,food=French,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a French restaurant located near Raja Indian Cuisine in the riverside area. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Italian,1,price_range=moderate,1,rating='3 out of 5',1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
The Vaults is a moderately priced Italian pub in the city centre near Rainbow Vegetarian Café. It is not kid friendly and has a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=cheap,1,rating=average,1,area=riverside,1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Mill is a cheap fast food pub in the riverside area near Café Sicilia. It is not family-friendly and has an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type='coffee shop',1,rating=average,1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a family friendly coffee shop near Café Sicilia. It has an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,2,food=Chinese,1,price_range=high,1,rating=average,1,area=riverside,1,family_friendly=no,2,near='All Bar One',1,added,,disfluency,,2,1,0,0,0,
The Cricketers provides Chinese food in the high price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a cheap fast food restaurant near Raja Indian Cuisine in the riverside area. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=high,2,rating='1 out of 5',1,area='city centre',1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,1,1,0,0,0,
The Mill is a fast food pub near Café Sicilia in the city centre. It is not child friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range=moderate,1,area='city centre',1,family_friendly=no,2,near='Raja Indian Cuisine',1,added,,disfluency,,,,1,1,0,0,0,
The Waterman is a pub that provides Indian food in the moderate price range. It is located in the city centre. It is near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range=moderate,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a moderately priced Japanese pub in the city centre near Raja Indian Cuisine. It is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range=high,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a fast food restaurant near Raja Indian Cuisine in the city centre. It is not child friendly and has a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range=high,2,rating='3 out of 5',1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,1,1,0,0,0,
The Vaults is a Japanese pub located near Raja Indian Cuisine in the city centre. It is not child friendly and has a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=English,1,price_range=cheap,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
"The Punter is a cheap, family friendly restaurant that serves English food. It is located in the riverside area near Raja Indian Cuisine.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range=moderate,2,rating='1 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a French pub located near Crowne Plaza Hotel in the city centre. It is kid friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range='more than £30',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a Japanese pub near Raja Indian Cuisine in the riverside area. It is not child friendly and has a price range of more than £30.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,2,food=Chinese,1,price_range=cheap,1,rating='5 out of 5',1,area=riverside,1,family_friendly=yes,2,near='All Bar One',1,added,,disfluency,,2,1,0,0,0,
The Cricketers provides Chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range='more than £30',2,rating='5 out of 5',1,area=riverside,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a French pub located near Crowne Plaza Hotel in the riverside area. It has a customer rating of 5 out of 5 and is not children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=restaurant,1,food=English,1,price_range=moderate,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
"The Mill is a moderately priced, kid friendly English restaurant in the riverside area near Raja Indian Cuisine.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,2,food=Indian,1,price_range=high,1,rating='1 out of 5',1,area='city centre',1,family_friendly=yes,2,near='Express by Holiday Inn',1,added,,disfluency,,2,1,0,0,0,
The Punter provides Indian food in the high price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range=high,1,rating='3 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,0,0,0,0,0,
The Vaults is a family-friendly pub that serves Japanese food. It is located near Raja Indian Cuisine in the city centre. It has a high price range and a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=high,1,rating=average,1,area='city centre',1,family_friendly=yes,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a children friendly English restaurant in the city centre near Café Rouge. It has an average customer rating and is in the high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Green Man',1,eat_type=pub,1,food=Italian,1,area=riverside,1,family_friendly=yes,1,near='Express by Holiday Inn',1,added,,disfluency,,,,,,0,0,0,0,0,
Green Man is a family friendly Italian pub near Express by Holiday Inn in the riverside area.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,2,food=Indian,1,price_range=moderate,1,rating='1 out of 5',1,area=riverside,1,family_friendly=yes,2,near='Express by Holiday Inn',1,added,,disfluency,,2,1,0,0,0,
The Punter provides Indian food in the moderate price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=restaurant,1,food=English,2,price_range='less than £20',1,area=riverside,2,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,2,1,0,0,0,
The Mill is a low priced restaurant that is not family friendly. It is located near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Plough',1,eat_type=restaurant,2,food=Chinese,1,price_range=£20-25,1,area=riverside,1,family_friendly=yes,2,near='Raja Indian Cuisine',1,added,,disfluency,,,,2,1,0,0,0,
The Plough provides Chinese food in the £20-25 price range. It is located in the riverside. It is near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range='less than £20',1,area='city centre',1,family_friendly=yes,2,near='Raja Indian Cuisine',1,added,,disfluency,,,,1,1,0,0,0,
The Waterman is a pub that provides Indian food in the less than £20 price range. It is located in the city centre. It is near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range=£20-25,2,rating=high,1,area=riverside,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a French pub located near Crowne Plaza Hotel in the riverside area. It has a high customer rating and is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=high,2,rating=average,1,area='city centre',1,family_friendly=no,1,near='Café Rouge',1,added,,disfluency,,1,1,0,0,0,
The Cricketers is an English restaurant located near Café Rouge in the city centre. It has an average customer rating and is not children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range='less than £20',1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a family-friendly fast food restaurant in the city centre near Raja Indian Cuisine. It has a price range of less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Italian,1,price_range=high,1,rating=average,1,area='city centre',1,family_friendly=no,2,near='Rainbow Vegetarian Café',1,added,,disfluency,,1,1,0,0,0,
The Vaults is an Italian pub located near Rainbow Vegetarian Café in the city centre. It has a high price range and an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,2,food=Chinese,1,price_range=cheap,1,rating=average,1,area='city centre',1,family_friendly=no,2,near='All Bar One',1,added,,disfluency,,2,1,0,0,0,
The Cricketers provides Chinese food in the cheap price range. It is located in the city centre. It is near All Bar One. Its customer rating is average.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Blue Spice',1,eat_type=restaurant,1,food=Chinese,1,area=riverside,1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Blue Spice is a Chinese restaurant near Rainbow Vegetarian Café in the riverside area. It is family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=moderate,2,rating='1 out of 5',2,area=riverside,2,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,3,1,0,0,0,
The Mill is a family friendly pub that serves fast food. It is located near Café Sicilia.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Wildwood,1,eat_type=restaurant,1,food=Italian,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Wildwood is a family friendly Italian restaurant in the riverside area near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food='Fast food',1,price_range='more than £30',1,rating=high,1,area=riverside,1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a children friendly pub that serves fast food. It is located near Café Sicilia in the riverside area. It has a high customer rating and the price range is more than £30.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range='less than £20',1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a cheap fast food restaurant that is family friendly. It is located near Raja Indian Cuisine in the riverside area.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food='Fast food',1,price_range='more than £30',2,rating=high,1,area=riverside,1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a fast food pub in the riverside area near Café Sicilia. It has a high customer rating and is not children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Strada,1,eat_type='coffee shop',1,rating=low,1,near='Express by Holiday Inn',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Strada is a coffee shop near Express by Holiday Inn. It has a low customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=high,1,rating=average,1,area=riverside,1,family_friendly=no,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a high priced English restaurant with an average customer rating. It is located in riverside near Café Rouge and is not children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Italian,1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is an Italian pub located near Raja Indian Cuisine in the riverside area. It is not family-friendly and has a price range of less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=Chinese,1,price_range='more than £30',1,rating=high,1,area='city centre',1,family_friendly=no,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a Chinese restaurant with a high customer rating and a price range of more than £30. It is located in the city centre near All Bar One and is not children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Indian,1,price_range=moderate,1,rating='3 out of 5',1,area='city centre',1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
The Punter is an Indian restaurant in the moderate price range with a customer rating of 3 out of 5. It is located in the city centre near Express by Holiday Inn and is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range=moderate,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a moderately priced fast food restaurant in the city centre near Raja Indian Cuisine. It is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=restaurant,1,food='Fast food',1,area=riverside,1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a family friendly fast food restaurant in the riverside area near Rainbow Vegetarian Café.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range=cheap,1,rating='5 out of 5',1,area='city centre',1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a cheap French pub located near Crowne Plaza Hotel in the city centre. It is not family-friendly and has a customer rating of 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food='Fast food',1,price_range=moderate,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a moderately priced fast food pub in the riverside area near Raja Indian Cuisine. It is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=restaurant,1,food=Indian,1,price_range=moderate,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a moderately priced Indian restaurant in the riverside area near Raja Indian Cuisine. It is kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=restaurant,1,food=French,1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Vaults is a French restaurant located near Raja Indian Cuisine in the riverside area. It is not family-friendly and has a price range of less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=Chinese,1,price_range='less than £20',1,rating=low,1,area='city centre',1,family_friendly=no,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a Chinese restaurant with a low customer rating and a price range of less than £20. It is located in the city centre near All Bar One and is not family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=restaurant,1,food=French,1,price_range=moderate,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Vaults is a moderately priced French restaurant in the riverside area near Raja Indian Cuisine. It is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,